room,price,district,floor,square
3-к квартира,2650000.0,р-н Ленинский,2/5 эт.,43.1
3-к квартира,3500000.0,р-н Свердловский,1/10 эт.,67.5
2-к квартира,4699000.0,р-н Дзержинский,2/16 эт.,60.4
3-к квартира,2590000.0,р-н Дзержинский,3/5 эт.,51.6
1-к квартира,1700000.0,р-н Кировский,5/5 эт.,34.0
2-к квартира,2800000.0,р-н Индустриальный,9/9 эт.,44.0
3-к квартира,7700000.0,р-н Кировский,16/17 эт.,120.0
4-к квартира,12000000.0,р-н Свердловский,7/22 эт.,134.0
2-к квартира,4115360.0,р-н Дзержинский,8/25 эт.,57.8
Квартира-студия,1500000.0,р-н Свердловский,3/5 эт.,17.0
2-к квартира,4350000.0,р-н Свердловский,17/17 эт.,61.7
1-к квартира,2500000.0,р-н Свердловский,9/9 эт.,35.0
2-к квартира,3479120.0,р-н Дзержинский,6/25 эт.,55.4
2-к квартира,2043360.0,р-н Индустриальный,4/5 эт.,45.0
1-к квартира,2500000.0,р-н Дзержинский,9/14 эт.,40.0
3-к квартира,4950000.0,р-н Дзержинский,14/19 эт.,94.2
3-к квартира,3500000.0,р-н Орджоникидзевский,1/2 эт.,80.0
2-к квартира,3900000.0,р-н Свердловский,14/25 эт.,65.4
1-к квартира,1647400.0,р-н Орджоникидзевский,9/16 эт.,34.2
3-к квартира,4939220.0,р-н Индустриальный,3/15 эт.,86.7
2-к квартира,2800000.0,р-н Свердловский,1/26 эт.,38.0
1-к квартира,3230000.0,р-н Свердловский,7/19 эт.,38.1
2-к квартира,4300000.0,р-н Свердловский,24/25 эт.,48.5
2-к квартира,2270000.0,р-н Свердловский,4/5 эт.,44.7
2-к квартира,4450000.0,р-н Ленинский,13/14 эт.,55.0
2-к квартира,4590000.0,р-н Свердловский,7/16 эт.,65.6
1-к квартира,2400000.0,р-н Мотовилихинский,3/5 эт.,32.0
2-к квартира,1300000.0,р-н Орджоникидзевский,3/5 эт.,23.0
3-к квартира,2650000.0,р-н Мотовилихинский,2/5 эт.,63.0
2-к квартира,7000000.0,р-н Дзержинский,15/16 эт.,75.8
1-к квартира,1721560.0,р-н Мотовилихинский,5/9 эт.,30.9
3-к квартира,4112401.0,р-н Свердловский,16/17 эт.,65.8
3-к квартира,2640000.0,р-н Дзержинский,1/5 эт.,58.0
2-к квартира,2400000.0,р-н Свердловский,3/5 эт.,47.2
1-к квартира,2150000.0,р-н Орджоникидзевский,7/9 эт.,34.2
3-к квартира,8600000.0,р-н Свердловский,19/25 эт.,76.0
2-к квартира,2595195.0,р-н Мотовилихинский,5/16 эт.,45.5
